episode,timestamp,total_reward,pieces_placed,lines_cleared,avg_reward_100,avg_pieces_100,epsilon,avg_loss_200,curriculum_level
1,2026-04-21 00:13:56,-5.0,10,0,-5.0,10.0,1.0,,0
2,2026-04-21 00:13:56,-5.0,6,0,-5.0,8.0,1.0,,0
3,2026-04-21 00:13:57,-5.0,11,0,-5.0,9.0,1.0,,0
4,2026-04-21 00:13:57,-5.0,9,0,-5.0,9.0,1.0,,0
5,2026-04-21 00:13:57,-5.0,13,0,-5.0,9.8,1.0,,0
6,2026-04-21 00:13:57,-5.0,8,0,-5.0,9.5,1.0,,0
7,2026-04-21 00:13:57,-5.0,10,0,-5.0,9.57,1.0,,0
8,2026-04-21 00:13:57,-5.0,9,0,-5.0,9.5,1.0,,0
9,2026-04-21 00:13:57,-5.0,6,0,-5.0,9.11,1.0,,0
10,2026-04-21 00:13:57,-5.0,10,0,-5.0,9.2,1.0,,0
11,2026-04-21 00:13:57,-5.0,10,0,-5.0,9.27,1.0,,0
12,2026-04-21 00:13:58,-5.0,11,0,-5.0,9.42,1.0,,0
13,2026-04-21 00:13:58,-5.0,12,0,-5.0,9.62,1.0,,0
14,2026-04-21 00:13:58,-5.0,8,0,-5.0,9.5,1.0,,0
15,2026-04-21 00:13:58,-5.0,11,0,-5.0,9.6,1.0,,0
16,2026-04-21 00:13:58,-5.0,10,0,-5.0,9.62,1.0,,0
17,2026-04-21 00:13:58,-5.0,10,0,-5.0,9.65,1.0,,0
18,2026-04-21 00:13:58,-5.0,14,0,-5.0,9.89,1.0,,0
19,2026-04-21 00:13:59,-5.0,12,0,-5.0,10.0,1.0,,0
20,2026-04-21 00:13:59,-5.0,9,0,-5.0,9.95,1.0,,0
21,2026-04-21 00:13:59,-5.0,12,0,-5.0,10.05,1.0,,0
22,2026-04-21 00:13:59,-5.0,14,0,-5.0,10.23,1.0,,0
23,2026-04-21 00:13:59,-5.0,11,0,-5.0,10.26,1.0,,0
24,2026-04-21 00:13:59,-5.0,10,0,-5.0,10.25,1.0,,0
25,2026-04-21 00:13:59,-5.0,13,0,-5.0,10.36,1.0,,0
26,2026-04-21 00:13:59,-5.0,10,0,-5.0,10.35,1.0,,0
27,2026-04-21 00:13:59,-5.0,11,0,-5.0,10.37,1.0,,0
28,2026-04-21 00:14:00,-5.0,9,0,-5.0,10.32,1.0,,0
29,2026-04-21 00:14:00,-5.0,13,0,-5.0,10.41,1.0,,0
30,2026-04-21 00:14:00,-5.0,11,0,-5.0,10.43,1.0,,0
31,2026-04-21 00:14:00,-5.0,9,0,-5.0,10.39,1.0,,0
32,2026-04-21 00:14:00,-5.0,13,0,-5.0,10.47,1.0,,0
33,2026-04-21 00:14:00,5.0,13,1,-4.697,10.55,1.0,,0
34,2026-04-21 00:14:00,-5.0,9,0,-4.706,10.5,1.0,,0
35,2026-04-21 00:14:01,-5.0,13,0,-4.714,10.57,1.0,,0
36,2026-04-21 00:14:01,-5.0,8,0,-4.722,10.5,1.0,,0
37,2026-04-21 00:14:01,5.0,16,1,-4.459,10.65,1.0,,0
38,2026-04-21 00:14:01,-5.0,13,0,-4.474,10.71,1.0,,0
39,2026-04-21 00:14:01,-5.0,9,0,-4.487,10.67,1.0,,0
40,2026-04-21 00:14:01,-5.0,15,0,-4.5,10.78,1.0,,0
41,2026-04-21 00:14:01,-5.0,10,0,-4.512,10.76,1.0,,0
42,2026-04-21 00:14:01,-5.0,10,0,-4.524,10.74,1.0,,0
43,2026-04-21 00:14:01,-5.0,8,0,-4.535,10.67,1.0,,0
44,2026-04-21 00:14:02,-5.0,5,0,-4.545,10.55,1.0,,0
45,2026-04-21 00:14:02,-5.0,12,0,-4.556,10.58,1.0,,0
46,2026-04-21 00:14:02,-5.0,8,0,-4.565,10.52,1.0,,0
47,2026-04-21 00:14:02,-5.0,10,0,-4.574,10.51,1.0,,0
48,2026-04-21 00:14:02,-5.0,6,0,-4.583,10.42,1.0,,0
49,2026-04-21 00:14:02,-5.0,12,0,-4.592,10.45,1.0,,0
50,2026-04-21 00:14:02,-5.0,9,0,-4.6,10.42,1.0,,0
51,2026-04-21 00:14:02,-5.0,10,0,-4.608,10.41,1.0,,0
52,2026-04-21 00:14:02,-5.0,7,0,-4.615,10.35,1.0,,0
53,2026-04-21 00:14:02,5.0,10,1,-4.434,10.34,1.0,,0
54,2026-04-21 00:14:02,-5.0,7,0,-4.444,10.28,1.0,,0
55,2026-04-21 00:14:03,-5.0,9,0,-4.455,10.25,1.0,,0
56,2026-04-21 00:14:03,-5.0,10,0,-4.464,10.25,1.0,,0
57,2026-04-21 00:14:03,-5.0,13,0,-4.474,10.3,1.0,,0
58,2026-04-21 00:14:03,-5.0,12,0,-4.483,10.33,1.0,,0
59,2026-04-21 00:14:03,-5.0,9,0,-4.492,10.31,1.0,,0
60,2026-04-21 00:14:03,5.0,15,1,-4.333,10.38,1.0,,0
61,2026-04-21 00:14:03,-5.0,12,0,-4.344,10.41,1.0,,0
62,2026-04-21 00:14:03,-5.0,14,0,-4.355,10.47,1.0,,0
63,2026-04-21 00:14:04,-5.0,11,0,-4.365,10.48,1.0,,0
64,2026-04-21 00:14:04,-5.0,11,0,-4.375,10.48,1.0,,0
65,2026-04-21 00:14:04,-5.0,13,0,-4.385,10.52,1.0,,0
66,2026-04-21 00:14:04,-5.0,13,0,-4.394,10.56,1.0,,0
67,2026-04-21 00:14:04,-5.0,9,0,-4.403,10.54,1.0,,0
68,2026-04-21 00:14:04,-5.0,10,0,-4.412,10.53,1.0,,0
69,2026-04-21 00:14:04,-5.0,16,0,-4.42,10.61,1.0,,0
70,2026-04-21 00:14:04,-5.0,10,0,-4.429,10.6,1.0,,0
71,2026-04-21 00:14:05,-5.0,11,0,-4.437,10.61,1.0,,0
72,2026-04-21 00:14:05,-5.0,8,0,-4.444,10.57,1.0,,0
73,2026-04-21 00:14:05,-5.0,10,0,-4.452,10.56,1.0,,0
74,2026-04-21 00:14:05,-5.0,17,0,-4.459,10.65,1.0,,0
75,2026-04-21 00:14:05,-5.0,11,0,-4.467,10.65,1.0,,0
76,2026-04-21 00:14:05,-5.0,17,0,-4.474,10.74,1.0,,0
77,2026-04-21 00:14:05,-5.0,12,0,-4.481,10.75,1.0,,0
78,2026-04-21 00:14:05,-5.0,6,0,-4.487,10.69,1.0,,0
79,2026-04-21 00:14:06,-5.0,9,0,-4.494,10.67,1.0,,0
80,2026-04-21 00:14:06,-5.0,12,0,-4.5,10.69,1.0,,0
81,2026-04-21 00:14:06,-5.0,8,0,-4.506,10.65,1.0,,0
82,2026-04-21 00:14:06,-5.0,10,0,-4.512,10.65,1.0,,0
83,2026-04-21 00:14:06,-5.0,8,0,-4.518,10.61,1.0,,0
84,2026-04-21 00:14:06,-5.0,12,0,-4.524,10.63,1.0,,0
85,2026-04-21 00:14:06,-5.0,12,0,-4.529,10.65,1.0,,0
86,2026-04-21 00:14:06,-5.0,9,0,-4.535,10.63,1.0,,0
87,2026-04-21 00:14:06,-5.0,11,0,-4.54,10.63,1.0,,0
88,2026-04-21 00:14:07,-5.0,12,0,-4.545,10.65,1.0,,0
89,2026-04-21 00:14:07,-5.0,11,0,-4.551,10.65,1.0,,0
90,2026-04-21 00:14:07,5.0,13,1,-4.444,10.68,1.0,,0
91,2026-04-21 00:14:07,-5.0,6,0,-4.451,10.63,1.0,,0
92,2026-04-21 00:14:07,-5.0,9,0,-4.457,10.61,1.0,,0
93,2026-04-21 00:14:07,-5.0,10,0,-4.462,10.6,1.0,,0
94,2026-04-21 00:14:07,-5.0,11,0,-4.468,10.61,1.0,,0
95,2026-04-21 00:14:07,-5.0,16,0,-4.474,10.66,1.0,,0
96,2026-04-21 00:14:08,-5.0,11,0,-4.479,10.67,1.0,,0
97,2026-04-21 00:14:08,-5.0,9,0,-4.485,10.65,1.0,,0
98,2026-04-21 00:14:08,-5.0,8,0,-4.49,10.62,1.0,,0
99,2026-04-21 00:14:08,-5.0,12,0,-4.495,10.64,1.0,,0
100,2026-04-21 00:14:08,-5.0,12,0,-4.5,10.65,1.0,,0
101,2026-04-21 00:14:09,-5.0,11,0,-4.5,10.66,0.99451,0.42982,0
102,2026-04-21 00:14:10,-5.0,9,0,-4.5,10.69,0.98955,0.41093,0
103,2026-04-21 00:14:11,-5.0,13,0,-4.5,10.71,0.98314,0.39825,0
104,2026-04-21 00:14:12,-5.0,9,0,-4.5,10.71,0.97872,0.3958,0
105,2026-04-21 00:14:13,-5.0,12,0,-4.5,10.7,0.97287,0.39433,0
106,2026-04-21 00:14:14,-5.0,12,0,-4.5,10.74,0.96705,0.38698,0
107,2026-04-21 00:14:15,-5.0,12,0,-4.5,10.76,0.96126,0.38116,0
108,2026-04-21 00:14:16,-5.0,11,0,-4.5,10.78,0.95599,0.3759,0
109,2026-04-21 00:14:17,5.0,15,1,-4.4,10.87,0.94884,0.36617,0
110,2026-04-21 00:14:18,-5.0,14,0,-4.4,10.91,0.94222,0.3586,0
111,2026-04-21 00:14:19,-5.0,10,0,-4.4,10.91,0.93752,0.35061,0
112,2026-04-21 00:14:20,-5.0,13,0,-4.4,10.93,0.93145,0.33882,0
113,2026-04-21 00:14:21,-5.0,9,0,-4.4,10.9,0.92726,0.33029,0
114,2026-04-21 00:14:22,-5.0,9,0,-4.4,10.91,0.9231,0.32245,0
115,2026-04-21 00:14:23,-5.0,14,0,-4.4,10.94,0.91666,0.3115,0
116,2026-04-21 00:14:24,-5.0,12,0,-4.4,10.96,0.91117,0.30244,0
117,2026-04-21 00:14:25,-5.0,12,0,-4.4,10.98,0.90572,0.29363,0
118,2026-04-21 00:14:26,-5.0,10,0,-4.4,10.94,0.9012,0.28019,0
119,2026-04-21 00:14:27,-5.0,13,0,-4.4,10.95,0.89536,0.26368,0
120,2026-04-21 00:14:28,-5.0,14,0,-4.4,11.0,0.88911,0.24699,0
121,2026-04-21 00:14:29,-5.0,11,0,-4.4,10.99,0.88424,0.23274,0
122,2026-04-21 00:14:30,-5.0,8,0,-4.4,10.93,0.88071,0.2229,0
123,2026-04-21 00:14:31,-5.0,11,0,-4.4,10.93,0.87587,0.21087,0
124,2026-04-21 00:14:32,-5.0,10,0,-4.4,10.93,0.8715,0.20005,0
125,2026-04-21 00:14:33,-5.0,14,0,-4.4,10.94,0.86542,0.18505,0
126,2026-04-21 00:14:34,-5.0,14,0,-4.4,10.98,0.85939,0.17206,0
127,2026-04-21 00:14:35,-5.0,13,0,-4.4,11.0,0.85382,0.16022,0
128,2026-04-21 00:14:37,-5.0,14,0,-4.4,11.05,0.84786,0.1523,0
129,2026-04-21 00:14:38,5.0,13,1,-4.3,11.05,0.84236,0.14716,0
130,2026-04-21 00:14:39,-5.0,10,0,-4.3,11.04,0.83816,0.14456,0
131,2026-04-21 00:14:40,-5.0,13,0,-4.3,11.08,0.83273,0.14207,0
132,2026-04-21 00:14:41,-5.0,10,0,-4.3,11.05,0.82858,0.13954,0
133,2026-04-21 00:14:41,-5.0,10,0,-4.4,11.02,0.82444,0.13808,0
134,2026-04-21 00:14:42,-5.0,12,0,-4.4,11.05,0.81951,0.13735,0
