iteration,loss,epsilon,eval_reward,timestamp
1000,23.159040,0.9050,-560.9680,2026-03-03T06:03:34.895441
2000,30.727121,0.8100,-146.6700,2026-03-03T06:04:49.821197
3000,36.943841,0.7150,-232.2020,2026-03-03T06:06:02.799637
4000,41.998224,0.6200,-275.6580,2026-03-03T06:07:16.659853
5000,42.752240,0.5250,-239.2780,2026-03-03T06:08:36.371407
6000,43.785033,0.4300,-192.0380,2026-03-03T06:09:57.033358
6000,45.713865,0.4300,-149.9680,2026-03-03T06:13:20.725942
7000,46.530267,0.3350,-215.8100,2026-03-03T06:14:23.292210
8000,50.344631,0.2400,-106.2340,2026-03-03T06:15:24.922092
9000,52.896745,0.1450,-119.6980,2026-03-03T06:16:31.003148
10000,52.572342,0.0500,-114.6360,2026-03-03T06:17:20.393748
11000,52.515278,0.0500,-118.2760,2026-03-03T06:27:14.875270
12000,51.874386,0.0500,-97.7220,2026-03-03T06:27:59.730720
13000,51.119372,0.0500,-71.5240,2026-03-03T06:28:43.736595
14000,47.793673,0.0500,-71.0360,2026-03-03T06:29:28.421029
15000,46.497431,0.0500,-99.8360,2026-03-03T06:30:14.937236
16000,45.687165,0.0500,-72.4980,2026-03-03T06:31:08.532721
17000,43.499098,0.0500,-75.3180,2026-03-03T06:32:00.928560
18000,40.099628,0.0500,-78.6520,2026-03-03T06:32:50.399943
19000,36.302530,0.0500,-115.0500,2026-03-03T06:33:36.703083
20000,35.198700,0.0500,-71.2960,2026-03-03T06:34:21.842579
21000,34.145018,0.0500,-73.3520,2026-03-03T06:35:07.930931
22000,31.070391,0.0500,-62.8420,2026-03-03T06:35:53.082028
23000,33.412527,0.0500,-102.7460,2026-03-03T06:36:38.173340
24000,33.709752,0.0500,-74.7780,2026-03-03T06:37:25.164652
25000,29.190865,0.0500,-141.4680,2026-03-03T06:38:10.998680
26000,30.644075,0.0500,-87.4900,2026-03-03T06:38:56.626121
27000,30.905145,0.0500,-61.3960,2026-03-03T06:39:41.520530
