iteration,loss,epsilon,eval_reward,avg_pieces_placed,avg_score,timestamp
10000,2468.893889,0.9010,-709.4219,0.00,0.00,2026-04-08T14:25:52.236789
20000,612.812508,0.8020,-515.2663,0.00,0.00,2026-04-08T14:44:57.459991
30000,546.161960,0.7030,-685.2037,0.00,0.00,2026-04-08T15:03:51.503059
40000,853.464151,0.6040,-682.7550,0.00,0.00,2026-04-08T15:22:26.762855
50000,1515.920441,0.5050,-691.3319,0.00,0.00,2026-04-08T15:41:14.364940
60000,2095.557821,0.4060,-718.0613,0.00,0.00,2026-04-08T15:59:56.095620
70000,2459.606611,0.3070,-758.9406,0.00,0.00,2026-04-08T16:18:41.500394
80000,2862.816842,0.2080,-713.1806,0.00,0.00,2026-04-08T16:37:17.829103
90000,3750.011245,0.1090,-555.4731,0.00,0.00,2026-04-08T16:55:55.773189
100000,4113.830699,0.0100,-624.3794,0.00,0.00,2026-04-08T17:14:33.527054
110000,4862.778830,0.0100,-577.3956,0.00,0.00,2026-04-08T17:33:13.181130
120000,5189.228678,0.0100,-693.0456,0.00,0.00,2026-04-08T17:51:53.688265
130000,5507.608134,0.0100,-601.5119,0.00,0.00,2026-04-08T18:10:39.013451
140000,5613.409904,0.0100,-674.1987,0.00,0.00,2026-04-08T18:29:34.629424
150000,5488.687794,0.0100,-540.0619,0.00,0.00,2026-04-08T18:48:15.591864
160000,5316.411675,0.0100,-484.5888,0.00,0.00,2026-04-08T19:06:57.313279
170000,5207.686979,0.0100,-727.8200,0.00,0.00,2026-04-08T19:25:48.051010
180000,5162.606999,0.0100,-588.9288,0.00,0.00,2026-04-08T19:44:38.548112
190000,5195.977392,0.0100,-721.0400,0.00,0.00,2026-04-08T20:03:27.654394
200000,5152.166912,0.0100,-705.9575,0.00,0.00,2026-04-08T20:22:12.903849
210000,5116.823666,0.0100,-632.7219,0.00,0.00,2026-04-08T20:41:09.138250
220000,4855.999965,0.0100,-764.6550,0.00,0.00,2026-04-08T20:59:45.028302
230000,4771.785947,0.0100,-654.0044,0.00,0.00,2026-04-08T21:18:19.412428
240000,4689.709232,0.0100,-765.2850,0.00,0.00,2026-04-08T21:36:58.115322
250000,4866.724883,0.0100,-462.8925,0.00,0.00,2026-04-08T21:55:31.310122
260000,4732.113287,0.0100,-408.9588,0.00,0.00,2026-04-08T22:14:02.621018
270000,4723.703377,0.0100,-518.8387,0.00,0.00,2026-04-08T22:32:38.876439
280000,4585.160339,0.0100,-629.6650,0.00,0.00,2026-04-08T22:51:13.413788
290000,4606.990016,0.0100,-616.2269,0.00,0.00,2026-04-08T23:09:49.105715
300000,4688.854388,0.0100,-712.7575,0.00,0.00,2026-04-08T23:28:50.125521
310000,4718.245098,0.0100,-558.2513,0.00,0.00,2026-04-08T23:47:54.119401
320000,4594.768691,0.0100,-640.1462,0.00,0.00,2026-04-09T00:06:37.934761
330000,4603.301530,0.0100,-502.6363,0.00,0.00,2026-04-09T00:25:25.147292
340000,4704.686862,0.0100,-558.6063,0.00,0.00,2026-04-09T00:44:13.014211
350000,4684.044104,0.0100,-717.0469,0.00,0.00,2026-04-09T01:03:00.272712
360000,4712.447770,0.0100,-585.1919,0.00,0.00,2026-04-09T01:21:51.974293
370000,4761.495999,0.0100,-596.3944,0.00,0.00,2026-04-09T01:40:38.720558
380000,4649.588087,0.0100,-588.6506,0.00,0.00,2026-04-09T01:59:17.629832
390000,4469.766851,0.0100,-721.6975,0.00,0.00,2026-04-09T02:17:58.459345
400000,4548.222897,0.0100,-434.3950,0.00,0.00,2026-04-09T02:36:38.695521
410000,4612.077047,0.0100,-569.0419,0.00,0.00,2026-04-09T02:55:16.609331
420000,4477.330068,0.0100,-537.4988,0.00,0.00,2026-04-09T03:14:07.500880
430000,4480.701954,0.0100,-385.1594,0.00,0.00,2026-04-09T03:32:49.696895
440000,4523.238364,0.0100,-532.1169,0.00,0.00,2026-04-09T03:51:32.289740
450000,4656.113323,0.0100,-640.8319,0.00,0.00,2026-04-09T04:10:11.070793
460000,4636.600636,0.0100,-517.1713,0.00,0.00,2026-04-09T04:28:51.346047
470000,4641.207768,0.0100,-434.7825,0.00,0.00,2026-04-09T04:47:34.735047
480000,4775.469389,0.0100,-692.7025,0.00,0.00,2026-04-09T05:06:11.004520
490000,4668.249804,0.0100,-749.7663,0.00,0.00,2026-04-09T05:24:47.728372
500000,4598.739486,0.0100,-534.2919,0.00,0.00,2026-04-09T05:43:23.500601
510000,4559.777814,0.0100,-653.0344,0.00,0.00,2026-04-09T18:04:08.746369
520000,4438.607066,0.0100,-536.1699,0.00,0.00,2026-04-09T18:22:36.825203
530000,4397.479249,0.0100,-510.3850,0.00,0.00,2026-04-09T18:41:12.440858
540000,4367.873338,0.0100,-543.7132,0.00,0.00,2026-04-09T18:59:43.408334
550000,4320.251038,0.0100,-317.1159,0.00,0.00,2026-04-09T19:18:16.496908
560000,4427.549259,0.0100,-643.8274,0.00,0.00,2026-04-09T19:36:46.540170
570000,4282.665086,0.0100,-655.3492,0.00,0.00,2026-04-09T19:55:15.071985
580000,4162.418643,0.0100,-344.7744,0.00,0.00,2026-04-09T20:13:49.631430
590000,4107.078365,0.0100,-598.6737,0.00,0.00,2026-04-09T20:32:22.778235
600000,4170.722369,0.0100,-444.2050,0.00,0.00,2026-04-09T20:50:52.772752
610000,4156.601955,0.0100,-507.7463,0.00,0.00,2026-04-09T21:09:26.408008
620000,4183.972373,0.0100,-538.2525,0.00,0.00,2026-04-09T21:28:02.972395
630000,4221.114888,0.0100,-717.4212,0.00,0.00,2026-04-09T21:46:39.583753
640000,4267.474630,0.0100,-629.2460,0.00,0.00,2026-04-09T22:05:12.624155
650000,4270.079430,0.0100,-570.7688,0.00,0.00,2026-04-09T22:23:47.537976
660000,4321.439380,0.0100,-569.0869,0.00,0.00,2026-04-09T22:42:24.015819
670000,4266.838731,0.0100,-654.1863,0.00,0.00,2026-04-09T23:00:57.236025
680000,4250.684365,0.0100,-338.2512,0.00,0.00,2026-04-09T23:19:35.678677
690000,4264.519187,0.0100,-672.9505,0.00,0.00,2026-04-09T23:38:12.479981
700000,4302.430983,0.0100,-605.9505,0.00,0.00,2026-04-09T23:56:44.622217
710000,4204.497951,0.0100,-382.9698,0.00,0.00,2026-04-10T00:15:18.535887
720000,4206.842966,0.0100,-521.7074,0.00,0.00,2026-04-10T00:33:51.613478
730000,4287.980275,0.0100,-296.3606,0.00,0.00,2026-04-10T00:52:28.942803
740000,4256.728765,0.0100,-688.6159,0.00,0.00,2026-04-10T01:11:00.709344
750000,4271.025299,0.0100,-546.8014,0.00,0.00,2026-04-10T01:30:29.744561
760000,4326.320806,0.0100,-623.4461,0.00,0.00,2026-04-10T01:49:04.864977
770000,4333.032034,0.0100,-639.8055,0.00,0.00,2026-04-10T02:07:46.720850
780000,4243.337619,0.0100,-588.9137,0.00,0.00,2026-04-10T02:26:27.342419
790000,4276.420940,0.0100,-197.9840,0.00,0.00,2026-04-10T02:57:12.384401
800000,4730.870316,0.0100,-450.8960,0.00,0.00,2026-04-10T03:15:50.366199
810000,4635.309795,0.0100,-215.2080,0.00,0.00,2026-04-10T03:34:24.725062
820000,4580.976120,0.0100,-327.9280,0.00,0.00,2026-04-10T03:53:00.403866
830000,4567.736520,0.0100,57.3600,0.00,0.00,2026-04-10T04:11:31.425723
840000,4430.497870,0.0100,-341.3120,0.00,0.00,2026-04-10T04:30:02.742062
850000,4264.088121,0.0100,-483.6480,0.00,0.00,2026-04-10T04:48:34.449084
860000,4321.798267,0.0100,-179.8800,0.00,0.00,2026-04-10T05:07:11.177362
870000,4160.991700,0.0100,-321.7600,0.00,0.00,2026-04-10T05:25:46.357732
880000,4321.618051,0.0100,-213.5840,0.00,0.00,2026-04-10T05:44:20.409544
890000,4299.387526,0.0100,-216.4400,0.00,0.00,2026-04-10T06:03:01.126791
900000,4306.270090,0.0100,-167.3200,0.00,0.00,2026-04-10T06:21:33.304043
910000,4308.275580,0.0100,-89.1920,0.00,0.00,2026-04-10T06:40:06.066856
920000,4186.581711,0.0100,-326.7600,0.00,0.00,2026-04-10T06:58:38.006551
930000,4266.099732,0.0100,51.5120,0.00,0.00,2026-04-10T07:17:13.817569
940000,4324.471303,0.0100,-180.8000,0.00,0.00,2026-04-10T07:35:50.927218
950000,4380.728449,0.0100,-209.8000,0.00,0.00,2026-04-10T07:54:25.414001
960000,4381.432930,0.0100,47.2800,0.00,0.00,2026-04-10T08:13:07.956680
970000,4565.915104,0.0100,-325.0880,0.00,0.00,2026-04-10T08:31:40.917048
980000,4456.921155,0.0100,-454.8480,0.00,0.00,2026-04-10T08:50:16.617052
990000,4304.458309,0.0100,-461.6320,0.00,0.00,2026-04-10T09:08:53.686848
1000000,4344.374583,0.0100,-209.6400,0.00,0.00,2026-04-10T09:27:28.964386
1010000,4170.159997,0.0100,-318.0960,0.00,0.00,2026-04-10T09:46:25.612415
1020000,4127.608945,0.0100,-214.2320,0.00,0.00,2026-04-10T10:05:01.542543
1030000,4001.513875,0.0100,-193.2320,0.00,0.00,2026-04-10T10:23:41.033286
1040000,4028.362251,0.0100,-222.1200,0.00,0.00,2026-04-10T10:42:21.393963
1050000,4054.683622,0.0100,-353.2560,0.00,0.00,2026-04-10T11:01:01.963501
1060000,4076.932743,0.0100,-331.0800,0.00,0.00,2026-04-10T11:19:43.158034
1070000,4045.781004,0.0100,-172.2240,0.00,0.00,2026-04-10T11:39:04.539027
1080000,4040.039523,0.0100,-186.8080,0.00,0.00,2026-04-10T11:57:48.220687
1090000,4031.596134,0.0100,-446.7760,0.00,0.00,2026-04-10T12:16:26.062054
1100000,3964.219006,0.0100,-76.5760,0.00,0.00,2026-04-10T12:35:06.166090
1110000,3989.883573,0.0100,-353.6400,0.00,0.00,2026-04-10T12:54:01.872811
1120000,4036.041148,0.0100,-349.7440,0.00,0.00,2026-04-10T13:12:42.415023
1130000,3949.651623,0.0100,-341.1600,0.00,0.00,2026-04-10T13:31:36.310238
1140000,4046.757923,0.0100,-333.3520,0.00,0.00,2026-04-10T13:50:18.429547
1150000,4130.302916,0.0100,-310.8560,0.00,0.00,2026-04-10T14:09:05.061622
1160000,4115.107831,0.0100,-212.1920,0.00,0.00,2026-04-10T14:27:39.822288
1170000,4126.293080,0.0100,79.3120,0.00,0.00,2026-04-10T14:46:32.829672
1180000,4058.644524,0.0100,-65.7600,0.00,0.00,2026-04-10T15:05:14.112751
1190000,4032.542258,0.0100,-170.0880,0.00,0.00,2026-04-10T15:24:02.818989
1200000,4104.261720,0.0100,131.4480,0.00,0.00,2026-04-10T15:42:44.143851
1210000,4132.374625,0.0100,-48.3200,0.00,0.00,2026-04-10T16:01:23.642309
1220000,4027.060978,0.0100,-475.3360,0.00,0.00,2026-04-10T16:20:00.605790
1230000,3925.999188,0.0100,-217.1120,0.00,0.00,2026-04-10T16:38:42.404892
1240000,4071.252017,0.0100,-340.8160,0.00,0.00,2026-04-10T16:57:16.979121
1250000,3972.432525,0.0100,-344.6080,0.00,0.00,2026-04-10T17:15:55.475713
1260000,4053.892856,0.0100,77.3360,0.00,0.00,2026-04-10T17:34:42.578071
1270000,4069.544930,0.0100,-189.1520,0.00,0.00,2026-04-10T17:53:26.775404
1280000,4023.764221,0.0100,-183.1680,0.00,0.00,2026-04-10T18:12:06.273294
1290000,4020.223913,0.0100,49.2000,0.00,0.00,2026-04-10T20:19:09.233086
1300000,4008.435248,0.0100,-456.7440,0.00,0.00,2026-04-10T20:37:54.837458
1310000,3975.008939,0.0100,-339.7680,0.00,0.00,2026-04-10T20:56:38.502296
1320000,4042.418232,0.0100,-75.7440,0.00,0.00,2026-04-10T21:15:25.666637
1330000,3992.512632,0.0100,-206.3920,0.00,0.00,2026-04-10T21:34:18.121949
1340000,3998.142667,0.0100,-224.2000,0.00,0.00,2026-04-10T21:53:02.879951
1350000,3948.656206,0.0100,-339.2960,0.00,0.00,2026-04-10T22:11:42.482319
1360000,3910.985946,0.0100,-342.0080,0.00,0.00,2026-04-10T22:30:30.658682
1370000,3980.665662,0.0100,-175.9280,0.00,0.00,2026-04-10T22:49:10.985089
1380000,3928.178224,0.0100,-468.4160,0.00,0.00,2026-04-10T23:07:50.388231
1390000,3929.195158,0.0100,-207.4800,0.00,0.00,2026-04-10T23:26:39.070806
1400000,3843.396444,0.0100,-316.7920,0.00,0.00,2026-04-10T23:45:26.506626
1410000,3793.310392,0.0100,-82.0800,0.00,0.00,2026-04-11T00:04:15.229423
